id,cons_12m,cons_gas_12m,cons_last_month,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,imp_cons,margin_gross_pow_ele,nb_prod_act,net_margin,pow_max,var_year_price_off_peak_var,var_year_price_peak_var,var_year_price_mid_peak_var,var_year_price_off_peak_fix,var_year_price_peak_fix,var_year_price_mid_peak_fix,var_year_price_off_peak,var_year_price_peak,var_year_price_mid_peak,var_6m_price_off_peak_var,var_6m_price_peak_var,var_6m_price_mid_peak_var,var_6m_price_off_peak_fix,var_6m_price_peak_fix,var_6m_price_mid_peak_fix,var_6m_price_off_peak,var_6m_price_peak,var_6m_price_mid_peak,churn,offpeak_diff_dec_jan_energy,offpeak_diff_dec_jan_power,off_peak_peak_var_mean_diff,peak_mid_peak_var_mean_diff,off_peak_mid_peak_var_mean_diff,off_peak_peak_fix_mean_diff,peak_mid_peak_fix_mean_diff,off_peak_mid_peak_fix_mean_diff,off_peak_peak_var_max_monthly_diff,peak_mid_peak_var_max_monthly_diff,off_peak_mid_peak_var_max_monthly_diff,off_peak_peak_fix_max_monthly_diff,peak_mid_peak_fix_max_monthly_diff,off_peak_mid_peak_fix_max_monthly_diff,tenure,months_end,months_modif_prod,months_renewal,channel_MISSING,channel_ewpakwlliwisiwduibdlfmalxowmwpci,channel_foosdfpfkusacimwkcsosbicdxkicaua,channel_lmkebamcaaclubfxadlmueccxoimlema,channel_usilxuppasemubllopkaafesmlibmsdf,origin_kamkkxfxxuwbdslkwifmmcsiusiuosws,origin_ldkssxwpmemidmecebumciepifcamkci,origin_lxidpiddsbxsbosboudacockeimpuepw
095424e6a5510ab49c765676392e2a85,4.335056519439092,0.0,0.0,3.417709120111266,0.0,0.0,1.4661258704181992,0.0659742467909992,0.0361508285695994,1.6562072696681427,0,0.0,17.45,1,191.03,13.856,3.8775606060607445e-06,7.842429924242491e-07,0.0,0.0076619430461661,0.0,0.0,0.0076658206067722,0.0076627272891586,0.0,3.557607142857248e-06,1.0976892857142869e-06,0.0,0.0090302081142857,0.0,0.0,0.0090337657214285,1.0976892857142869e-06,0.0,0,-0.0035730000000001,0.1777787999999986,0.0819064166666666,0.0861459166666666,0.1680523333333332,44.32619036,0.0,44.32619036,0.083971,0.08731,0.169629,44.44470996,0.0,44.44470996,7,-6,75,4,True,False,False,False,False,False,False,True
086fa9618a4ec6576ebfa111d24b55ea,3.934599438218073,0.0,2.970346876230093,2.993713913809974,2.970346876230093,0.0,2.110387665875087,0.0493622465301055,0.042767221175498,1.6191632818997663,0,103.0,57.12,1,123.12,28.575,1.5457422424242437e-05,3.7207544469697063e-06,1.7770272954544875e-06,0.0054289416934153,0.0019544190096292,0.0008686306709463,0.0054443991158396,0.0054326624478623,0.0008704076982417,1.5857600238095268e-05,4.1382288095238325e-06,6.942857142828267e-10,0.0,0.0,0.0,1.5857600238095268e-05,4.1382288095238325e-06,6.942857142828267e-10,1,-0.006756,0.1629156000000051,0.0205364166666666,0.0307726666666666,0.0513090833333333,16.275263399999993,8.1376293,24.412892699999997,0.0222249999999999,0.033742,0.055866,16.29155496,8.14577508,24.43733004,5,-1,56,9,False,False,True,False,False,False,False,True
3a7c252f62c06ee4a080b3d574f0938d,1.462397997898956,0.0,0.0,0.631443769013172,0.0,0.0,1.2385478876813278,0.0666218158027802,0.036588577550807,1.6562072696681427,0,0.0,26.04,1,0.39,10.392,6.264374545454562e-06,1.759575378787405e-07,0.0,3.8181818111259284e-13,0.0,0.0,6.264374927272743e-06,1.7595791969692157e-07,0.0,5.099615238095283e-06,1.350021428571065e-07,0.0,0.0,0.0,0.0,5.099615238095283e-06,1.350021428571065e-07,0.0,0,-0.00535,-1.1999999998124622e-06,0.0815924166666667,0.0883455833333333,0.169938,44.26693046,0.0,44.26693046,0.084587,0.0888149999999999,0.172468,44.26693116,0.0,44.26693116,6,-1,69,10,True,False,False,False,False,True,False,False
537abe38988128d5a367cab7b8bf13b0,3.515741416669365,0.0,0.0,2.6957442751973235,0.0,0.0,1.300812794118117,0.0597549650241824,0.0,1.670309674454459,0,0.0,21.78,1,51.35,13.2,4.775758810606049e-06,0.0,0.0,0.2345786886799816,0.0,0.0,0.2345834644387922,0.2345786886799816,0.0,4.425027571428518e-06,0.0,0.0,0.4021351040571412,0.0,0.0,0.4021395290847127,0.0,0.0,0,-0.0030449999999999,1.677778799999999,0.1507039166666666,0.0,0.1507039166666666,44.40674536,0.0,44.40674536,0.152445,0.0,0.152445,45.94470996,0.0,45.94470996,5,-10,48,1,False,False,False,False,True,True,False,False
ba87bc2c573b0e79ea5ee0a3d87505ea,5.413800841893457,0.0,4.477801116988148,3.089162999364932,3.1398790864012365,0.0,0.0,0.0587683140289966,0.0,1.6562072696681427,0,202.42,18.4,1,114.99,11.3,3.466153151514959e-06,0.0,0.0,0.0086196859268398,0.0,0.0,0.0086231520799913,0.0086196859268398,0.0,3.790747285714165e-06,0.0,0.0,0.0045151040571428,0.0,0.0,0.0045188948044285,0.0,0.0,0,-0.0034229999999998,0.1777787999999986,0.1488713333333332,0.0,0.1488713333333332,44.35582026,0.0,44.35582026,0.15125,0.0,0.15125,44.44470996,0.0,44.44470996,5,-5,53,6,False,False,True,False,False,False,False,True
8198633109cb1f7c3c1788ae02d7bfad,6.319885423296417,5.431302636930258,5.339614395387981,3.287418755159293,3.325925955771466,0.0,2.121855182166855,0.0473426354058715,0.0409332745429289,1.6191632818997663,1,210.39,19.96,2,204.14,21.8,1.6359509356060575e-05,2.6477320833333143e-06,2.4367993636363674e-06,0.0072385356078,0.0026059154732663,0.0011582083541061,0.007254895117156,0.0072411833398833,0.0011606451534698,1.5176600238095196e-05,3.111169285714174e-06,1.276707999999988e-06,0.0037914742491423,0.0013650647862857,0.0006067699405715,0.0038066508493804,0.0013681759555714,0.0006080466485715,0,-0.007801,0.1629156000000051,0.0204651666666666,0.0292599166666666,0.0497250833333333,16.258972359999998,8.129483780000001,24.38845614,0.022581,0.031859,0.05444,16.29155496,8.14577508,24.43733004,4,-5,41,6,False,True,False,False,False,True,False,False
3c3933eb04ae90d5bea542d826fbeef1,4.082964793777752,0.0,3.3089910290001643,3.0837247268694314,3.3089910290001643,0.0,2.084469031488076,0.0471135837040932,0.0404840598465032,1.6191632818997663,0,197.43,32.48,1,147.79,20.0,1.3560348992424226e-05,4.215745174242433e-06,3.162989454545445e-06,0.0054289416934153,0.0019544190096292,0.0008686306709463,0.0054425020424077,0.0054331574385896,0.0008717936604008,1.585760023809524e-05,4.1382288095238325e-06,6.94285714285615e-10,0.0,0.0,0.0,1.585760023809524e-05,4.1382288095238325e-06,6.94285714285615e-10,0,-0.004345,0.1629156000000051,0.0206506666666666,0.0303029166666666,0.0509535833333333,16.275263399999993,8.1376293,24.412892699999997,0.0225809999999999,0.03207,0.054441,16.29155496,8.14577508,24.43733004,3,-3,20,8,False,False,True,False,False,False,False,True
25b3ff50d2eef717392f8b168adc0156,4.468805018712035,0.0,0.0,3.460088610291497,0.0,0.0,2.0827853703164503,0.047367169496106,0.0414412444627091,1.6191632818997663,0,0.0,11.11,1,361.0,23.1,2.0968496151515173e-05,3.971784446969697e-06,1.0941463636363416e-07,0.0054288350608909,0.0019544659310116,0.0008686989258153,0.0054498035570424,0.0054328068453378,0.0008688083404516,1.896782195238101e-05,3.594304809523802e-06,1.5906457142857245e-07,0.0075829484982853,0.0027301295725714,0.0012135398811429,0.0076019163202377,0.0027337238773809,0.0012136989457143,0,-0.009328,0.1629156000000051,0.0200524166666666,0.0301639166666666,0.0502163333333333,16.242682359999996,8.121338780000002,24.36402114,0.022138,0.031941,0.054079,16.29155496,8.14577508,24.43733004,11,-8,120,3,True,False,False,False,False,False,True,False
5eecbd50b88a48cb6ada1939df6d8797,4.544229323779228,0.0,3.3998467127129226,3.468217318047406,0.0,0.0,1.2299376859079338,0.0567234764736585,0.0,1.6562072696681427,0,0.0,19.28,2,211.95,10.392,1.2216460696969856e-05,0.0,0.0,0.0,0.0,0.0,1.2216460696969856e-05,0.0,0.0,4.740343809523855e-06,0.0,0.0,0.0,0.0,0.0,4.740343809523855e-06,0.0,0.0,1,-0.007706,0.0,0.1450741666666666,0.0,0.1450741666666666,44.44470995999999,0.0,44.44470995999999,0.149096,0.0,0.149096,44.44470996,0.0,44.44470996,3,-3,8,8,False,False,True,False,False,False,True,False
8447e65569cdf33f5103e6cd4cc32fbf,4.756529613180304,0.0,3.305136318943639,2.619239462835362,0.0,0.0,1.2362852774480284,0.0587698313421753,0.0,1.6562072696681427,0,0.0,19.48,1,39.24,13.856,1.858314992424201e-06,0.0006089452740833,0.0,0.0086196859268398,0.0,0.0,0.0086215442418322,0.0092286312009231,0.0,2.816343809523748e-06,0.0,0.0,0.0045151040571428,0.0,0.0,0.0045179204009523,0.0,0.0,0,-0.0013419999999998,0.1777787999999986,0.1405324999999999,0.0071235833333333,0.1476560833333333,44.35582026,0.0,44.35582026,0.15125,0.085483,0.15125,44.44470996,0.0,44.44470996,4,-6,17,5,False,False,True,False,False,False,False,True
bac4c08b69328cf2fec32431977ffb99,0.0,0.0,0.0,0.0,0.0,0.0,2.13325141247232,0.0384027616335561,0.0359869586382237,1.779405041780668,0,0.0,0.0,1,0.0,16.0,8.904324810606029e-06,2.572824810606077e-06,0.0,0.0,0.0,0.0,8.904324810606029e-06,2.572824810606077e-06,0.0,7.995720238095227e-06,2.310291666666674e-06,0.0,0.0,0.0,0.0,7.995720238095227e-06,2.310291666666674e-06,0.0,0,-0.0057949999999999,0.0,0.0115303333333333,0.0268360833333333,0.0383664166666666,22.68277896,28.12295796,50.80573692,0.0126469999999999,0.028134,0.040781,22.68277896,28.12295796,50.80573692,7,-11,75,0,True,False,False,False,False,False,True,False
f8682fe980b5bebb2ddcfb7c1a3bf10a,3.763203300370772,0.0,0.9542425094393248,2.7684012833114604,0.9542425094393248,0.0,2.1687920203141817,0.0480174016403668,0.0414001865435825,1.6191632818997663,0,0.58,49.44,1,71.22,19.8,3.062458333333303e-05,1.271371824242428e-05,2.8764886969697028e-06,3.5345454611412245e-12,1.9008000004388437e-12,9.048436369638684e-12,3.062458686787849e-05,1.271372177696974e-05,2.8764977454060723e-06,1.5733485952380932e-05,4.106525952380965e-06,6.94285714285615e-10,1.8514285839137188e-12,9.956571460147393e-13,4.739657140807268e-12,1.5733487803809515e-05,4.106526948038111e-06,6.990253714264223e-10,1,-0.010718,3.600000006542814e-06,0.0204783333333333,0.0303831666666666,0.0508614999999999,16.226391839999998,8.113193520000003,24.33958536,0.022136,0.033742,0.055866,16.22639496,8.11319508,24.33959004,5,-11,7,0,False,False,True,False,False,False,False,True
