cons_12m,cons_gas_12m,cons_last_month,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,imp_cons,margin_gross_pow_ele,nb_prod_act,net_margin,pow_max,var_year_price_off_peak_var,var_year_price_peak_var,var_year_price_mid_peak_var,var_year_price_off_peak_fix,var_year_price_peak_fix,var_year_price_mid_peak_fix,var_year_price_off_peak,var_year_price_peak,var_year_price_mid_peak,var_6m_price_off_peak_var,var_6m_price_peak_var,var_6m_price_mid_peak_var,var_6m_price_off_peak_fix,var_6m_price_peak_fix,var_6m_price_mid_peak_fix,var_6m_price_off_peak,var_6m_price_peak,var_6m_price_mid_peak,offpeak_diff_dec_jan_energy,offpeak_diff_dec_jan_power,off_peak_peak_var_mean_diff,peak_mid_peak_var_mean_diff,off_peak_mid_peak_var_mean_diff,off_peak_peak_fix_mean_diff,peak_mid_peak_fix_mean_diff,off_peak_mid_peak_fix_mean_diff,off_peak_peak_var_max_monthly_diff,peak_mid_peak_var_max_monthly_diff,off_peak_mid_peak_var_max_monthly_diff,off_peak_peak_fix_max_monthly_diff,peak_mid_peak_fix_max_monthly_diff,off_peak_mid_peak_fix_max_monthly_diff,tenure,months_end,months_modif_prod,months_renewal,channel_MISSING,channel_ewpakwlliwisiwduibdlfmalxowmwpci,channel_foosdfpfkusacimwkcsosbicdxkicaua,channel_lmkebamcaaclubfxadlmueccxoimlema,channel_usilxuppasemubllopkaafesmlibmsdf,origin_kamkkxfxxuwbdslkwifmmcsiusiuosws,origin_ldkssxwpmemidmecebumciepifcamkci,origin_lxidpiddsbxsbosboudacockeimpuepw
4.173390251465195,4.193597610298094,3.165541076722373,3.1683678240260544,3.165541076722373,0.0,2.0738282844011087,0.0471451439200487,0.0412141929329283,1.6191632818997663,1,140.56,3.24,2,181.83,17.320999999999998,2.2208114333333377e-05,4.453096568181817e-06,4.491160606060512e-08,0.0054288350608909,0.0019544659310116,0.0008686989258153,0.0054510431752242,0.0054332881574591,0.0008687438374213,2.020736480952387e-05,4.019638142857135e-06,7.455028571428515e-08,0.0075829484982853,0.0027301295725714,0.0012135398811429,0.0076031558630948,0.0027341492107142,0.0012136144314286,-0.009908,0.1629156000000051,0.0200524166666666,0.0301639166666666,0.0502163333333333,16.242682359999996,8.121338780000002,24.36402114,0.022138,0.031941,0.054079,16.29155496,8.14577508,24.43733004,6,-10,2,1,False,False,True,False,False,False,False,True
4.075035725922191,0.0,3.0034605321095067,3.305998029549888,3.0034605321095067,1.4913616938342726,1.255031163345551,0.0784916182201348,0.0,1.6749105204266346,0,201.36,30.9,2,85.22,13.2,0.0007983838991742,0.0,0.0,1.260906844145664,0.0,0.0,1.2617052280448384,1.260906844145664,0.0,0.0004126165234761,0.0,0.0,0.5714288000000249,0.0,0.0,0.5718414165235012,0.0,0.0,0.0534079999999999,2.177779200000004,0.1738589166666666,0.0,0.1738589166666666,45.370635660000005,0.0,45.370635660000005,0.204604,0.0,0.204604,46.44471036,0.0,46.44471036,6,-8,3,3,False,False,True,False,False,False,False,True
3.848435455331471,0.0,0.0,2.756567650130143,0.0,0.0,1.2893659515200318,0.0574508047754627,0.0,1.6562072696681427,0,0.0,10.08,1,46.23,10.39,1.1840208749999854e-05,0.0,0.0,0.0086196665327123,0.0,0.0,0.0086315067414623,0.0086196665327123,0.0,7.284243238095254e-06,0.0,0.0,0.0045151040571428,0.0,0.0,0.0045223883003809,0.0,0.0,-0.0069049999999999,0.1777787999999986,0.1469212499999999,0.0,0.1469212499999999,44.35582036,0.0,44.35582036,0.1502109999999999,0.0,0.1502109999999999,44.44470996,0.0,44.44470996,7,-7,5,3,False,False,True,False,False,False,False,True
4.345432547499147,0.0,0.0,3.516690026582976,0.0,0.0,1.3049211619008918,0.0580447105519158,0.0,1.6562072696681427,0,0.0,29.76,1,317.74,13.2,4.995808333333338e-06,0.0,0.0,3.490909143860595e-13,0.0,0.0,4.995808682424252e-06,3.490909143860595e-13,0.0,4.740343809523749e-06,0.0,0.0,0.0,0.0,0.0,4.740343809523749e-06,0.0,0.0,-0.0039939999999998,-1.1999999998124622e-06,0.1479648333333333,0.0,0.1479648333333333,44.26693036,0.0,44.26693036,0.149902,0.0,0.149902,44.26693116,0.0,44.26693116,6,-1,0,10,False,False,True,False,False,False,False,True
4.185655458920215,0.0,3.355834495884936,3.2081483238234627,3.355834495884936,0.0,2.1230672437365663,0.0493622465301055,0.042767221175498,1.6191632818997663,0,228.77,26.76,1,190.7,19.8,1.5457422424242437e-05,3.7207544469697063e-06,1.7770272954544875e-06,0.0054289416934153,0.0019544190096292,0.0008686306709463,0.0054443991158396,0.0054326624478623,0.0008704076982417,1.5857600238095268e-05,4.1382288095238325e-06,6.942857142828267e-10,0.0,0.0,0.0,1.5857600238095268e-05,4.1382288095238325e-06,6.942857142828267e-10,-0.006756,0.1629156000000051,0.0205364166666666,0.0307726666666666,0.0513090833333333,16.275263399999993,8.1376293,24.412892699999997,0.0222249999999999,0.033742,0.055866,16.29155496,8.14577508,24.43733004,4,-2,45,9,False,False,True,False,False,False,True,False
4.035629827790439,0.0,3.1166077439882485,3.059885138559698,2.886490725172482,0.0,1.1714339009430084,0.0580010127803725,0.0,1.665659565509497,0,111.19,17.64,1,97.16,12.5,1.1516617060606042e-05,0.0,0.0,0.2022749431806006,0.0,0.0,0.2022864597976613,0.2022749431806006,0.0,5.356443619047622e-06,0.0,0.0,0.2979195211299437,0.0,0.0,0.2979248775735628,0.0,0.0,-0.0068779999999999,1.1777784000000011,0.1483138333333333,0.0,0.1483138333333333,44.49285706,0.0,44.49285706,0.151635,0.0,0.151635,45.44470956,0.0,45.44470956,6,-9,4,2,False,False,True,False,False,False,False,True
5.962232916415726,0.0,4.8223250249151945,3.504776596038832,0.0,0.0,1.4442009888641596,0.0659746198777942,0.0358950045240735,1.6562072696681427,0,0.0,23.4,1,336.61,10.392,5.403329696969719e-06,5.737266287878166e-07,0.0,3.927272699386852e-13,0.0,0.0,5.4033300896969885e-06,5.737270215150865e-07,0.0,5.099615238095237e-06,1.3500214285710474e-07,0.0,2.0571428506125162e-13,0.0,0.0,5.099615443809522e-06,1.3500214285710474e-07,0.0,-0.004194,-1.1999999998124622e-06,0.0815924166666667,0.0864189166666666,0.1680113333333333,44.26693056,0.0,44.26693056,0.084587,0.0870809999999999,0.170012,44.26693116,0.0,44.26693116,5,-1,67,10,True,False,False,False,False,False,True,False
3.413467412985825,0.0,0.0,2.594867472862688,0.0,0.0,1.3117538610557542,0.0593164776114992,0.0,1.670309674454459,0,0.0,28.56,1,54.63,11.4,4.442241545454527e-06,0.0,0.0,0.4265066845050691,0.0,0.0,0.4265111267466145,0.4265066845050691,0.0,4.104906285714229e-06,0.0,0.0,0.6702251734285717,0.0,0.0,0.6702292783348573,0.0,0.0,-0.0033959999999999,1.677778799999999,0.1499535,0.0,0.1499535,44.54656036,0.0,44.54656036,0.151635,0.0,0.151635,45.94470996,0.0,45.94470996,6,-9,70,2,False,False,False,True,False,True,False,False
6.758264432290261,0.0,5.887169273453673,3.392095205747934,3.473632926873841,0.0,2.161906792067279,0.0473426354058715,0.0409332745429289,1.6191632818997663,0,267.88,15.24,1,291.83,19.8,1.825748590909097e-05,2.9050265151515243e-06,1.935819242424242e-06,0.0,0.0,0.0,1.825748590909097e-05,2.9050265151515243e-06,1.935819242424242e-06,1.639447714285711e-05,2.608595238095261e-06,1.7382866666666756e-06,0.0,0.0,0.0,1.639447714285711e-05,2.608595238095261e-06,1.7382866666666756e-06,-0.008298,0.0,0.0205936666666666,0.029482,0.0500756666666666,16.291554960000003,8.145775079999996,24.43733004,0.0226719999999999,0.031987,0.054659,16.29155496,8.14577508,24.43733004,5,-6,52,5,False,False,False,True,False,False,False,True
6.194266459670151,5.609590140953809,5.136035299737171,3.890211366621172,0.0,0.0,1.9491947742379825,0.0659746198777942,0.0358950045240735,1.6562072696681427,1,0.0,29.76,2,299.75,13.2,5.542650272727228e-06,3.951266287878245e-07,0.0,2.94545456505995e-13,0.0,0.0,5.542650567272685e-06,3.9512692333328097e-07,0.0,5.099615238095237e-06,1.3500214285710474e-07,0.0,0.0,0.0,0.0,5.099615238095237e-06,1.3500214285710474e-07,0.0,-0.004194,-1.1999999998124622e-06,0.0814544166666667,0.0865930833333332,0.1680475,44.26693026,0.0,44.26693026,0.084587,0.0870809999999999,0.170012,44.26693116,0.0,44.26693116,7,-12,69,0,False,False,False,True,False,True,False,False
